NEXTFLEX_ID,Nextera_i7,seqlev,hamming
UDI0373,v2_Ad2.90,5,8
UDI0336,v2_Ad2.88,3,5
UDI0319,v2_Ad2.66,4,7
UDI0291,v2_Ad2.52,5,7
UDI0352,v2_Ad2.67,4,6
UDI0331,v2_Ad2.55,4,7
UDI0308,v2_Ad2.10,5,6
UDI0377,v2_Ad2.70,4,4
UDI0326,v2_Ad2.14,6,6
UDI0364,v2_Ad2.63,4,5
UDI0333,v2_Ad2.37,5,6
UDI0346,v2_Ad2.73,6,7
UDI0313,v2_Ad2.32,3,5
UDI0365,v2_Ad2.60,4,6
UDI0352,v2_Ad2.91,4,7
UDI0309,v2_Ad2.11,5,6
UDI0293,v2_Ad2.89,4,8
UDI0383,v2_Ad2.20,4,5
UDI0360,v2_Ad2.56,5,5
UDI0328,v2_Ad2.13,4,6
UDI0318,v2_Ad2.12,4,7
UDI0299,v2_Ad2.41,4,6
UDI0321,v2_Ad2.82,5,6
UDI0318,v2_Ad2.58,4,5
UDI0331,v2_Ad2.1,5,7
UDI0351,v2_Ad2.21,4,6
UDI0357,v2_Ad2.65,6,7
UDI0292,v2_Ad2.82,3,4
UDI0305,v2_Ad2.73,2,3
UDI0358,v2_Ad2.87,5,5
UDI0348,v2_Ad2.59,3,7
UDI0384,v2_Ad2.52,4,5
UDI0350,v2_Ad2.22,4,6
UDI0322,v2_Ad2.62,4,7
UDI0340,v2_Ad2.94,5,7
UDI0383,v2_Ad2.68,3,6
UDI0371,v2_Ad2.89,4,7
UDI0364,v2_Ad2.92,4,7
UDI0318,v2_Ad2.53,4,6
UDI0334,v2_Ad2.11,4,6
UDI0357,v2_Ad2.89,5,6
UDI0296,v2_Ad2.70,5,6
UDI0331,v2_Ad2.81,5,5
UDI0336,v2_Ad2.83,5,7
UDI0312,v2_Ad2.34,4,6
UDI0307,v2_Ad2.4,4,8
UDI0336,v2_Ad2.77,5,6
UDI0359,v2_Ad2.43,4,6
UDI0305,v2_Ad2.69,6,8
UDI0334,v2_Ad2.78,5,6
UDI0299,v2_Ad2.78,6,7
UDI0327,v2_Ad2.86,6,8
UDI0351,v2_Ad2.11,4,5
UDI0321,v2_Ad2.12,4,6
